timestamp,open,high,low,close,volume
2018-03-29,271.4100,280.4100,257.8300,263.1500,2336204952
2018-02-28,281.0700,283.0600,252.9200,271.6500,2923721958
2018-01-31,267.8400,286.6300,267.4000,281.9000,1996090155
2017-12-29,264.7600,268.6000,260.7600,266.8600,1715222830
2017-11-30,258.0400,266.0500,255.6300,265.0100,1364516581
2017-10-31,251.4900,257.8900,251.2900,257.1500,1320624558
2017-09-29,247.9200,251.3200,244.9500,251.2300,1286405280
2017-08-31,247.4600,248.9100,241.8300,247.4900,1556592441
2017-07-31,242.8800,248.0000,240.3400,246.7700,1060192538
2017-06-30,241.9700,245.0100,239.9600,241.8000,1555272400
2017-05-31,238.6800,242.0800,235.4300,241.4400,1489321600
2017-04-28,235.8000,239.5300,232.5100,238.0800,1549613700
2017-03-31,238.3900,240.3200,231.6100,235.7400,1921474100
2017-02-28,227.5300,237.3100,226.8200,236.4700,1365136600
2017-01-31,225.0400,229.7100,223.8800,227.5300,1482408500
2016-12-30,220.7300,228.3400,219.1500,223.5300,1821463800
2016-11-30,212.9300,221.8200,208.3800,220.3800,2062615100
2016-10-31,215.8200,216.7000,211.2100,212.5500,1725687400
2016-09-30,217.3700,219.2200,212.3100,216.3000,2292393000
2016-08-31,217.1900,219.6000,214.2500,217.3800,1519703200
2016-07-29,209.4800,217.5400,207.0600,217.1200,1648453700
2016-06-30,209.1200,212.5200,198.6500,209.4800,2612406900
2016-05-31,206.9200,210.6900,202.7800,209.8400,1812964000
2016-04-29,204.3500,210.9200,203.0900,206.3300,1903382300
2016-03-31,195.0100,206.8700,194.4500,205.5200,2323306500
2016-02-29,192.5300,196.6800,181.0900,193.5600,2920730800
2016-01-29,200.4900,201.9000,181.0200,193.7200,3702344700
2015-12-31,209.4400,211.0000,199.8300,203.8700,2924836766
2015-11-30,208.3200,211.6600,202.1800,208.6900,1924512621
2015-10-30,192.0800,209.4400,189.1200,207.9300,2536184532
2015-09-30,193.1200,202.8900,186.9300,191.5900,3279512868
2015-08-31,210.4600,211.3100,182.4000,197.5400,3734845150
2015-07-31,207.7300,213.1800,204.1100,210.4500,2452757863
2015-06-30,211.9400,213.3400,205.2800,205.8900,2535242753
2015-05-29,209.4000,213.7800,206.7600,211.1400,1892519799
2015-04-30,206.4300,212.4800,204.5100,208.4600,2036685271
2015-03-31,210.7800,212.0600,204.1200,206.4300,2749923097
2015-02-27,200.0500,212.2400,197.8600,210.6600,1901638015
2015-01-30,206.3800,206.8800,198.5500,199.4500,3183506003
2014-12-31,206.4000,212.9700,197.8600,205.5400,3045170856
2014-11-28,201.9200,207.8700,200.0600,207.2000,1571225009
2014-10-31,196.7000,201.8200,181.9200,201.6600,3943067849
2014-09-30,200.9700,201.9000,196.0500,197.0200,2106580212
2014-08-29,192.5600,200.8200,190.5500,200.7100,1829764370
2014-07-31,196.2000,199.0600,192.9700,193.0900,1893838621
2014-06-30,192.9500,196.6000,191.9700,195.7200,1675360233
2014-05-30,188.2200,192.8000,186.0100,192.6800,1780157245
2014-04-30,187.6200,189.7000,181.3100,188.3100,2345807033
2014-03-31,184.6500,189.0200,183.7500,187.0100,2553782755
2014-02-28,177.9700,187.1500,173.7100,186.2900,2394183674
2014-01-31,183.9800,184.9400,176.8800,178.1800,2530649614
2013-12-31,181.0900,184.6900,177.3200,184.6900,2232670202
2013-11-29,176.0200,181.7500,174.7600,181.0000,1931935724
2013-10-31,168.1400,177.5100,164.5300,175.7900,2893983294
2013-09-30,165.2300,173.6000,163.7000,168.0100,2237776606
2013-08-30,169.9900,170.9700,163.0500,163.6500,2279523923
2013-07-31,161.2600,169.8600,160.2200,168.7100,2314233963
2013-06-28,163.8300,165.9900,155.7300,160.4200,3522568591
2013-05-31,159.3300,169.0700,158.1000,163.4500,2776278334
2013-04-30,156.5900,159.7200,153.5500,159.6800,2901276707
2013-03-28,151.0900,156.8500,150.4100,156.6700,2326952774
2013-02-28,150.6500,153.2800,148.7300,151.6100,2565517631
2013-01-31,145.1100,150.9400,144.7300,149.7000,2583855935
2012-12-31,142.8000,145.5800,139.5400,142.4100,2884366197
2012-11-30,141.6500,143.7200,134.7000,142.1500,3027334368
2012-10-31,144.5200,147.1600,140.3900,141.3500,2716359739
2012-09-28,141.0400,148.1100,140.1300,143.9700,2388041836
2012-08-31,138.7000,143.0900,135.5800,141.1600,2410281680
2012-07-31,136.4800,139.3400,132.6000,137.7100,2857498501
2012-06-29,129.4100,136.2700,127.1400,136.1000,3640166489
2012-05-31,139.7900,141.6600,129.5500,131.4700,3998284713
2012-04-30,140.6400,142.2100,135.7600,139.8700,3022691643
2012-03-30,137.3100,141.8300,134.3600,140.8100,3051602568
2012-02-29,132.2900,138.1900,132.1300,137.0200,2887994942
2012-01-31,127.7600,133.4000,126.4300,131.3200,2877125732
2011-12-30,124.8500,127.2600,120.0300,125.5000,3835567090
2011-11-30,122.0300,128.0200,116.2000,124.9900,4994461652
2011-10-31,112.4900,129.4200,107.4300,125.5000,5706349377
2011-09-30,122.2900,123.4000,111.3000,113.1500,6173479911
2011-08-31,130.8400,130.9600,110.2700,122.2200,9023719820
2011-07-29,132.0900,135.7000,127.9700,129.3300,3830169325
2011-06-30,134.5100,134.9200,126.1900,131.9700,4675957703
2011-05-31,137.0700,137.1800,131.3800,134.9000,3333953417
2011-04-29,133.4100,136.5700,129.5100,136.4300,2811243192
2011-03-31,133.5700,133.6900,125.2800,132.5900,4776136726
2011-02-28,129.4600,134.6900,129.3800,133.1500,2815864041
2011-01-31,126.7100,130.3500,125.7000,128.6800,2857000899
2010-12-31,120.2000,126.2000,120.1900,125.7500,2718639268
2010-11-30,119.0700,122.9500,117.5900,118.4900,3978049158
2010-10-29,114.9900,119.7600,113.1800,118.4900,3763467063
2010-09-30,106.7300,115.7900,106.6600,114.1300,4042638784
2010-08-31,111.9900,113.1800,104.2900,105.3100,4536956409
2010-07-30,103.1500,112.2900,101.1300,110.2700,4717472942
2010-06-30,108.3500,113.2000,102.8800,103.2200,5696350357
2010-05-28,119.3800,120.6800,104.3800,109.3700,7402768337
2010-04-30,117.8000,122.1200,117.1000,118.8100,4004277783
2010-03-31,111.2000,118.1700,111.1700,117.0000,3699245612
2010-02-26,108.1500,111.5800,104.5800,110.7400,4439171207
2010-01-29,112.3700,115.1400,107.2200,107.3900,3705733018
2009-12-31,110.9200,113.0300,109.0200,111.4400,2878516757
2009-11-30,104.1300,111.7400,103.0800,109.9400,3428177124
2009-10-30,103.0000,110.3100,101.9900,103.5600,4478118719
2009-09-30,101.9500,108.0600,99.5700,105.5900,3774712350
2009-08-31,99.8500,104.3500,98.1100,102.4600,3954118963
2009-07-31,92.3400,99.8300,87.0000,98.8100,4295844600
2009-06-30,93.6700,96.1100,88.8500,91.9500,5054855000
2009-05-29,87.4400,93.7000,86.7200,92.5300,5195735600
2009-04-30,78.5300,89.0200,78.3300,87.4200,6023006600
2009-03-31,72.5200,83.3000,67.1000,79.5200,8813959700
2009-02-27,81.5700,87.7400,73.8100,73.9300,7275092500
2009-01-30,90.4400,94.4500,80.0500,82.8300,6872039400
2008-12-31,87.5100,92.4300,81.8600,90.2400,6919927700
2008-11-28,96.7800,100.8600,74.3400,90.0900,8762237000
2008-10-31,115.2700,116.6900,83.5800,96.8300,11882352200
2008-09-30,130.0300,130.7100,110.5300,115.9900,8105188900
2008-08-29,127.1200,131.5100,124.7600,128.7900,4344355500
2008-07-31,126.5200,129.1600,120.0200,126.8300,7156206800
2008-06-30,139.8300,140.8900,127.0400,127.9800,5408930000
2008-05-30,138.3800,144.3000,137.5200,140.3500,3646997000
2008-04-30,133.6100,140.5900,132.3300,138.2600,4014652600
2008-03-31,133.1400,135.8100,126.0700,131.9700,5462121800
2008-02-29,137.9400,139.6100,131.7300,133.8200,4151028600
2008-01-31,146.5300,146.9900,126.0000,137.3700,6106834300
2007-12-31,148.1900,152.8900,143.9600,146.2100,3293787500
2007-11-30,153.2900,153.4100,140.6600,148.6600,5472709900
2007-10-31,152.6000,157.5200,148.6600,154.6500,3850069600
2007-09-28,147.4500,154.3900,144.3300,152.5800,2967009200
2007-08-31,145.1800,150.5900,137.0000,147.5900,6195918600
2007-07-31,150.8700,155.5300,145.0400,145.7200,3988676200
2007-06-29,153.8800,154.4000,148.0600,150.4300,3502885400
2007-05-31,148.4200,153.8900,147.6700,153.3200,2508178000
2007-04-30,142.1600,149.8000,141.4800,148.2900,1791289900
2007-03-30,139.3400,143.8100,136.7500,142.0000,2918304400
2007-02-28,144.1500,146.4200,139.0000,140.9300,1494548900
2007-01-31,142.2500,144.1300,140.2500,143.7500,1330329900
2006-12-29,140.5300,143.2400,138.9700,141.6200,1212756800
2006-11-30,138.2200,141.1600,135.6200,140.5300,1502059900
2006-10-31,133.5400,139.0000,132.6500,137.7900,1443344100
2006-09-29,131.1400,133.9900,129.3500,133.5800,1363687900
2006-08-31,127.3400,131.0400,126.2800,130.6400,1420345400
2006-07-31,127.4300,128.1400,122.3900,127.8500,1691301400
2006-06-30,127.3800,129.4300,122.3400,127.2800,2163829300
2006-05-31,131.4700,132.8000,124.7600,127.5100,1752747100
2006-04-28,130.0700,131.8600,128.0200,131.4700,1300327900
2006-03-31,128.6000,131.4700,127.1800,129.8300,1350777100
2006-02-28,127.8200,130.0400,125.4000,128.2300,1145244400
2006-01-31,125.1900,129.4400,124.3900,127.5000,1233910800
2005-12-30,126.0200,128.0900,124.3600,124.5100,1073146800
2005-11-30,120.5800,127.4100,120.1300,125.4100,1183732800
2005-10-31,122.9600,123.3400,116.8800,120.1300,1784566400
2005-09-30,122.5200,124.7400,120.4400,123.0400,1287005000
2005-08-31,123.8300,124.7400,120.3800,122.5800,1306564800
2005-07-29,119.4500,124.6400,118.2600,123.7400,1176306400
2005-06-30,119.5200,121.9400,118.7500,119.1800,1089322900
2005-05-31,116.0700,120.2500,114.8000,119.4800,1334647300
2005-04-29,118.6300,119.2600,113.5500,115.7500,1633318500
2005-03-31,120.8200,123.2500,116.2500,117.9600,1330548800
2005-02-28,118.2500,121.6700,118.1000,120.6300,1025608400
2005-01-31,121.5600,121.7600,116.3700,118.1600,1184211500
2004-12-31,118.1600,121.6600,117.7300,120.8700,909170200
2004-11-30,113.5600,119.1400,113.2000,117.8900,961601700
2004-10-29,112.2600,114.6800,109.3500,113.2000,1044071300
2004-09-30,110.9500,113.7400,110.4100,111.7600,790891900
2004-08-31,110.1900,111.6300,106.5900,111.1100,922892000
2004-07-30,114.2500,114.4000,108.2100,110.8400,954619200
2004-06-30,112.4600,114.9400,111.8700,114.5300,721880400
2004-05-28,111.3700,113.2600,108.0600,112.8600,981083900
2004-04-30,113.0700,115.4100,110.9000,110.9600,968620900
2004-03-31,115.4300,116.9700,108.8500,113.1000,1125003900
2004-02-27,113.7000,116.6000,112.7800,115.0200,676976900
2004-01-30,111.7400,116.5000,110.7300,113.4800,737674000
2003-12-31,106.8500,111.5200,105.9600,111.2800,678350400
2003-11-28,105.7500,106.9500,103.6200,106.4500,630654200
2003-10-31,100.2400,105.9700,100.2000,105.3000,831700900
2003-09-30,101.6400,104.7000,99.2500,99.9500,818513400
2003-08-29,99.1900,101.8200,96.3400,101.4400,772702000
2003-07-31,97.2500,101.9000,96.4300,99.3900,895260500
2003-06-30,97.5300,102.1800,96.6700,97.6300,867970200
2003-05-30,91.9200,97.0900,90.5000,96.9500,881509900
2003-04-30,85.2500,92.8000,84.9100,91.9100,996114200
2003-03-31,85.2600,89.8800,79.3800,84.7400,1156870200
2003-02-28,86.1400,86.8100,81.0000,84.9000,862248300
2003-01-31,88.8500,93.8600,84.1500,86.0600,911319900
2002-12-31,95.4700,96.0500,87.1100,88.2300,728285900
2002-11-29,88.3500,94.9500,87.4500,93.9800,818243400
2002-10-31,82.4300,91.2900,77.0700,88.5200,1344248100
2002-09-30,90.7300,93.3300,80.9000,81.7900,1013828600
2002-08-30,90.8800,97.1500,83.5500,91.7800,936191200
2002-07-31,99.1800,99.8000,77.6800,91.1600,1124248800
2002-06-28,107.0900,107.6000,95.1900,98.9600,534883500
2002-05-31,107.9700,111.2500,104.9000,107.2200,452626500
2002-04-30,114.2300,115.1000,106.6300,107.8600,404461000
2002-03-28,111.7200,117.9000,111.5100,114.5200,385578100
2002-02-28,113.0900,113.3000,107.8200,111.1500,424492600
2002-01-31,115.1100,117.9900,108.4000,113.1800,349380000
2001-12-31,113.6500,118.0000,112.0000,114.3000,308403900
2001-11-30,106.6000,116.9000,105.7000,114.0500,372515000
2001-10-31,103.9000,111.7900,102.8300,105.8000,512612000
2001-09-28,113.8500,116.1700,93.8000,104.4400,419156100
2001-08-31,121.9700,123.2500,112.0400,114.1500,269599600
2001-07-31,122.8000,124.3200,116.7500,121.3500,196892900
2001-06-29,126.2000,129.2300,120.4000,122.6000,203578200
2001-05-31,125.0700,132.0900,123.4400,125.9500,208040000
2001-04-30,116.3000,127.2700,109.3000,126.6600,251839700
2001-03-30,124.0500,127.7500,108.0400,116.6900,318187200
2001-02-28,137.1000,137.9900,121.8000,123.9500,178607000
2001-01-31,132.0000,138.7000,127.5625,137.0200,181296400
2000-12-29,133.1875,139.5625,125.5312,131.1875,165416700
2000-11-30,142.2500,144.2968,129.7500,132.2812,156699900
2000-10-31,144.2812,145.7500,130.1562,142.9531,178392400
2000-09-29,153.2500,153.5937,142.1250,143.6250,113203000
2000-08-31,143.6250,153.0937,142.6250,152.3437,102365500
2000-07-31,145.4375,151.9843,141.5156,143.0000,106780100
2000-06-30,143.6875,149.1562,143.0000,145.2812,127146000
2000-05-31,146.5625,148.4843,136.5000,142.8125,161024000
2000-04-28,150.1250,153.1093,133.5000,145.0937,229246200
2000-03-31,137.6250,155.7500,135.0312,150.3750,247594900
2000-02-29,139.7500,144.5625,132.7187,137.4375,186938300
2000-01-31,148.2500,148.2500,135.0000,139.5625,156770800
1999-12-31,139.3125,147.5625,139.0000,146.8750,121529300
